CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,District,Longitude,Latitude
11/16/2019,7:25:00,6C,1000 PARK AVE,LARCENY,I,NA,CENTRAL,-76.61882966,39.30331393
11/16/2019,23:00:00,5C,2900 RIDGEWOOD AVE,BURGLARY,I,NA,NORTHWEST,-76.67143212,39.33902085
11/16/2019,20:00:00,7A,2600 E FAYETTE ST,AUTO THEFT,O,NA,SOUTHEAST,-76.58053991,39.29454656
11/16/2019,22:00:00,6E,2900 W COLD SPRING LN,LARCENY,I,NA,NORTHWEST,-76.67016955,39.33810542
11/16/2019,23:30:00,5A,5400 PARK HEIGHTS AVE,BURGLARY,I,NA,NORTHWEST,-76.68185442,39.35094645
11/16/2019,0:00:00,5A,3100 BANCROFT RD,BURGLARY,I,NA,NORTHWEST,-76.69508203,39.36735603
11/16/2019,1:00:00,6E,1000 CAMERON RD,LARCENY,O,NA,NORTHERN,-76.59773629,39.35654234
11/16/2019,16:00:00,6E,900 MOUNT HOLLY ST,LARCENY,O,NA,SOUTHWEST,-76.68006073,39.29799149
11/16/2019,2:22:00,4A,NORTH AV & BRADDISH AV,AGG. ASSAULT,O,FIREARM,WESTERN,-76.6611855,39.309336
11/16/2019,15:12:00,5A,1100 N ELLAMONT ST,BURGLARY,I,NA,SOUTHWEST,-76.66960013,39.30126035
11/16/2019,22:00:00,5A,500 BAKER ST,BURGLARY,I,NA,CENTRAL,-76.63961837,39.30892207
11/16/2019,17:11:00,4A,3100 E FAIRMOUNT AVE,AGG. ASSAULT,O,FIREARM,SOUTHEAST,-76.57333648,39.29352662
11/16/2019,19:20:00,4E,400 BRETTON PL,COMMON ASSAULT,I,NA,NORTHERN,-76.60996034,39.33359811
11/16/2019,20:09:00,4D,1700 HARFORD AVE,AGG. ASSAULT,I,HANDS,EASTERN,-76.60011473,39.30960537
11/16/2019,21:25:00,3B,300 CORNWALL ST,ROBBERY - STREET,O,NA,SOUTHEAST,-76.54474738,39.28928915
11/16/2019,22:50:00,4A,RD & N BROADWAY,AGG. ASSAULT,O,FIREARM,EASTERN,-76.597983,39.314169
11/16/2019,21:00:00,7A,1800 WASHINGTON BLVD,AUTO THEFT,O,NA,SOUTHERN,-76.64215361,39.2752598
11/16/2019,21:00:00,6D,300 BROADMOOR RD,LARCENY FROM AUTO,O,NA,NORTHERN,-76.61183008,39.35618264
11/16/2019,23:20:00,3AJO,100 SCOTT ST,ROBBERY - CARJACKING,O,OTHER,SOUTHERN,-76.62911745,39.28692737
11/16/2019,23:30:00,4E,3800 2ND ST,COMMON ASSAULT,I,NA,SOUTHERN,-76.60996857,39.23557883
11/16/2019,21:30:00,6D,1100 COVINGTON ST,LARCENY FROM AUTO,O,NA,SOUTHERN,-76.60706276,39.27751321
11/16/2019,0:00:00,5A,3200 ELMORA AVE,BURGLARY,I,NA,NORTHEAST,-76.57816259,39.31594556
11/16/2019,10:40:00,4E,7200 MCCLEAN BLVD,COMMON ASSAULT,I,NA,NORTHEAST,-76.56709146,39.37162178
11/16/2019,10:10:00,4E,1600 NORTHGATE RD,COMMON ASSAULT,I,NA,NORTHEAST,-76.58852651,39.34495049
11/16/2019,13:50:00,4E,1600 HAKESLEY PL,COMMON ASSAULT,O,NA,EASTERN,-76.59597364,39.30470587
11/16/2019,11:00:00,5A,1000 BETHUNE RD,BURGLARY,I,NA,SOUTHERN,-76.62644442,39.24353476
11/16/2019,12:34:00,4E,1200 W PRATT ST,COMMON ASSAULT,I,NA,SOUTHERN,-76.63678727,39.28570873
11/16/2019,23:00:00,7A,3300 RAVENWOOD AVE,AUTO THEFT,O,NA,NORTHEAST,-76.57709992,39.31524836
11/16/2019,1:30:00,3AF,0 E 26TH ST,ROBBERY - STREET,O,FIREARM,NORTHERN,-76.61566,39.321978
11/16/2019,15:00:00,6D,400 WARREN AVE,LARCENY FROM AUTO,O,NA,SOUTHERN,-76.60811693,39.27897998
11/16/2019,17:40:00,3B,1800 E LANVALE ST,ROBBERY - STREET,O,NA,EASTERN,-76.59281878,39.30975524
11/16/2019,5:30:00,4E,1700 N DALLAS ST,COMMON ASSAULT,I,NA,EASTERN,-76.59756944,39.31006234
11/16/2019,15:49:00,3D,200 W CHASE ST,ROBBERY - COMMERCIAL,I,NA,CENTRAL,-76.61972129,39.30141451
11/16/2019,4:03:00,6D,700 WASHINGTON PL,LARCENY FROM AUTO,O,NA,CENTRAL,-76.6159333,39.29832996
11/16/2019,12:45:00,6C,700 W 40TH ST,LARCENY,I,NA,NORTHERN,-76.62913261,39.33710394
11/16/2019,0:40:00,9S,500 SHERIDAN AV,SHOOTING,Outside,FIREARM,NORTHERN,-76.60978913,39.35473166
11/16/2019,17:30:00,4E,500 N LOUDON AVE,COMMON ASSAULT,I,NA,SOUTHWEST,-76.68248809,39.29252127
11/16/2019,5:55:00,5D,3500 DOLFIELD AVE,BURGLARY,I,NA,NORTHWEST,-76.67519606,39.33588642
11/16/2019,17:11:00,9S,3100 E FAIRMOUNT AV,SHOOTING,Outside,FIREARM,UNKNOWN,-76.57333648,39.29352662
